"time","line01.P2Pu","shiftController01.tap.value","tfo01.tap.value","tfo01.thetaTfo","PPuLine01.value"
0,-0.5,9,9,0,0.5
1,-0.5,9,9,0,0.5
2,-0.5,9,9,0,0.5
3,-0.5,9,9,0,0.5
4,-0.5,9,9,0,0.5
5,-0.5,9,9,0,0.5
6,-0.5,9,9,0,0.5
7,-0.5,9,9,0,0.5
8,-0.5,9,9,0,0.5
9,-0.5,9,9,0,0.5
10,-0.5,9,9,0,0.5
11,-0.5,9,9,0,0.5
12,-0.5,9,9,0,0.5
13,-0.5,9,9,0,0.5
14,-0.5,9,9,0,0.5
15,-0.5,9,9,0,0.5
16,-0.5,9,9,0,0.5
17,-0.5,9,9,0,0.5
18,-0.5,9,9,0,0.5
19,-0.5,9,9,0,0.5
20,-0.5,9,9,0,0.5
21,-0.5,9,9,0,0.5
22,-0.5,9,9,0,0.5
23,-0.5,9,9,0,0.5
24,-0.5,9,9,0,0.5
25,-0.5,9,9,0,0.5
26,-0.5,9,9,0,0.5
27,-0.5,9,9,0,0.5
28,-0.5,9,9,0,0.5
29,-0.5,9,9,0,0.5
30,-0.5,9,9,0,0.5
31,-0.5,9,9,0,0.5
32,-0.5,9,9,0,0.5
33,-0.5,9,9,0,0.5
34,-0.5,9,9,0,0.5
35,-0.5,9,9,0,0.5
36,-0.5,9,9,0,0.5
37,-0.5,9,9,0,0.5
38,-0.5,9,9,0,0.5
39,-0.5,9,9,0,0.5
40,-0.5,9,9,0,0.5
41,-0.5,9,9,0,0.5
42,-0.5,9,9,0,0.5
43,-0.5,9,9,0,0.5
44,-0.5,9,9,0,0.5
45,-0.5,9,9,0,0.5
46,-0.5,9,9,0,0.5
47,-0.5,9,9,0,0.5
48,-0.5,9,9,0,0.5
49,-0.5,9,9,0,0.5
50,-0.5,9,9,0,0.5
50.00000001000177,-0.5,9,9,0,0.5
50.00000001000177,-0.5,9,9,0,0.5
51,-0.5,9,9,0,0.5
52,-0.5,9,9,0,0.5
53,-0.5,9,9,0,0.5
54,-0.5,9,9,0,0.5
55,-0.5,9,9,0,0.5
56,-0.5,9,9,0,0.5
57,-0.5,9,9,0,0.5
58,-0.5,9,9,0,0.5
59,-0.5,9,9,0,0.5
60,-0.5,9,9,0,0.5
61,-0.5,9,9,0,0.5
62,-0.5,9,9,0,0.5
63,-0.5,9,9,0,0.5
64,-0.5,9,9,0,0.5
65,-0.5,9,9,0,0.5
66,-0.5,9,9,0,0.5
67,-0.5,9,9,0,0.5
68,-0.5,9,9,0,0.5
69,-0.5,9,9,0,0.5
70,-0.5,9,9,0,0.5
71,-0.5,9,9,0,0.5
72,-0.5,9,9,0,0.5
73,-0.5,9,9,0,0.5
74,-0.5,9,9,0,0.5
75,-0.5,9,9,0,0.5
75.0000000150022,-0.5,9,9,0,0.5
