time;Load__10_load_PPu;Load__10_load_QPu;Load__10_load_UPu;Generator___1_generator_PGenPu;Generator___1_generator_QGenPu;Condenser_shunt_section_value;Condenser_shunt_running;Condenser_shunt_QPu;Condenser_shunt_BPu;Self_shunt_section_value;Self_shunt_QPu;Self_shunt_BPu;Self_shunt_running;ShuntRegulation_UMonitoredPu;ShuntRegulation_URefPu;
0.000000;29.263743;0.000000;0.951120;29.672272;8.956345;0.000000;1.000000;0.000000;0.000000;1.000000;0.452298;-0.500000;1.000000;0.951120;0.955158;
10.000000;29.349783;0.000000;0.950818;29.760979;9.011867;0.000000;1.000000;0.000000;0.000000;1.000000;0.452027;-0.500000;1.000000;0.950818;0.955158;
20.000000;29.396192;0.000000;0.950654;29.808830;9.041913;0.000000;1.000000;0.000000;0.000000;1.000000;0.451872;-0.500000;1.000000;0.950654;0.955158;
30.000000;29.421193;0.000000;0.950566;29.834610;9.058129;0.000000;1.000000;0.000000;0.000000;1.000000;0.451788;-0.500000;1.000000;0.950566;0.955158;
40.000000;29.434652;0.000000;0.950519;29.848488;9.066867;0.000000;1.000000;0.000000;0.000000;1.000000;0.451743;-0.500000;1.000000;0.950519;0.955158;
40.000000;23.144365;0.000000;0.809751;23.578978;16.498075;0.000000;1.000000;0.000000;0.000000;1.000000;0.327849;-0.500000;1.000000;0.809751;0.955158;
50.000000;24.367934;0.000000;0.749163;24.930758;21.235048;0.000000;1.000000;0.000000;0.000000;1.000000;0.280622;-0.500000;1.000000;0.749163;0.955158;
50.000000;23.157125;0.000000;0.809319;23.592681;16.532940;1.000000;-1.000000;0.000000;2.500000;1.000000;0.327499;-0.500000;1.000000;0.809319;0.955158;
60.000000;23.157123;0.000000;0.809319;23.592679;16.532943;1.000000;-1.000000;0.000000;2.500000;1.000000;0.327499;-0.500000;1.000000;0.809319;0.955158;
60.000000;23.428597;0.000000;0.815632;23.867465;16.328941;1.000000;-1.000000;0.000000;2.500000;0.000000;0.000038;0.000000;1.000000;0.815632;0.955158;
70.000000;23.428604;0.000000;0.815632;23.867474;16.328952;1.000000;-1.000000;0.000000;2.500000;0.000000;-0.000000;0.000000;1.000000;0.815632;0.955158;
80.000000;23.428604;0.000000;0.815632;23.867474;16.328952;1.000000;-1.000000;0.000000;2.500000;0.000000;0.000000;0.000000;1.000000;0.815632;0.955158;
90.000000;23.428604;0.000000;0.815632;23.867474;16.328952;1.000000;-1.000000;0.000000;2.500000;0.000000;0.000000;0.000000;1.000000;0.815632;0.955158;
100.000000;23.428604;0.000000;0.815632;23.867474;16.328952;1.000000;-1.000000;0.000000;2.500000;0.000000;0.000000;0.000000;1.000000;0.815632;0.955158;
110.000000;23.428604;0.000000;0.815632;23.867474;16.328952;1.000000;-1.000000;0.000000;2.500000;0.000000;0.000000;0.000000;1.000000;0.815632;0.955158;
120.000000;23.428604;0.000000;0.815632;23.867474;16.328952;1.000000;-1.000000;0.000000;2.500000;0.000000;-0.000000;0.000000;1.000000;0.815632;0.955158;
130.000000;23.428604;0.000000;0.815632;23.867474;16.328952;1.000000;-1.000000;0.000000;2.500000;0.000000;0.000000;0.000000;1.000000;0.815632;0.955158;
140.000000;23.428604;0.000000;0.815632;23.867474;16.328952;1.000000;-1.000000;0.000000;2.500000;0.000000;0.000000;0.000000;1.000000;0.815632;0.955158;
150.000000;23.428604;0.000000;0.815632;23.867474;16.328952;1.000000;-1.000000;0.000000;2.500000;0.000000;0.000000;0.000000;1.000000;0.815632;0.955158;
160.000000;23.428604;0.000000;0.815632;23.867474;16.328952;1.000000;-1.000000;0.000000;2.500000;0.000000;0.000000;0.000000;1.000000;0.815632;0.955158;
170.000000;23.428604;0.000000;0.815632;23.867474;16.328952;1.000000;-1.000000;0.000000;2.500000;0.000000;0.000000;0.000000;1.000000;0.815632;0.955158;
180.000000;23.428604;0.000000;0.815632;23.867474;16.328952;1.000000;-1.000000;0.000000;2.500000;0.000000;0.000000;0.000000;1.000000;0.815632;0.955158;
190.000000;23.428604;0.000000;0.815632;23.867474;16.328952;1.000000;-1.000000;0.000000;2.500000;0.000000;0.000000;0.000000;1.000000;0.815632;0.955158;
200.000000;23.428604;0.000000;0.815632;23.867474;16.328952;1.000000;-1.000000;0.000000;2.500000;0.000000;0.000000;0.000000;1.000000;0.815632;0.955158;
210.000000;23.428604;0.000000;0.815632;23.867474;16.328952;1.000000;-1.000000;0.000000;2.500000;0.000000;0.000000;0.000000;1.000000;0.815632;0.955158;
220.000000;23.428604;0.000000;0.815632;23.867474;16.328952;1.000000;-1.000000;0.000000;2.500000;0.000000;0.000000;0.000000;1.000000;0.815632;0.955158;
230.000000;23.428604;0.000000;0.815632;23.867474;16.328952;1.000000;-1.000000;0.000000;2.500000;0.000000;0.000000;0.000000;1.000000;0.815632;0.955158;
240.000000;23.428604;0.000000;0.815632;23.867474;16.328952;1.000000;-1.000000;0.000000;2.500000;0.000000;0.000000;0.000000;1.000000;0.815632;0.955158;
250.000000;23.428604;0.000000;0.815632;23.867474;16.328952;1.000000;-1.000000;0.000000;2.500000;0.000000;0.000000;0.000000;1.000000;0.815632;0.955158;
260.000000;23.428604;0.000000;0.815632;23.867474;16.328952;1.000000;-1.000000;0.000000;2.500000;0.000000;0.000000;0.000000;1.000000;0.815632;0.955158;
270.000000;23.428604;0.000000;0.815632;23.867474;16.328952;1.000000;-1.000000;0.000000;2.500000;0.000000;0.000000;0.000000;1.000000;0.815632;0.955158;
280.000000;23.428604;0.000000;0.815632;23.867474;16.328952;1.000000;-1.000000;0.000000;2.500000;0.000000;0.000000;0.000000;1.000000;0.815632;0.955158;
290.000000;23.428604;0.000000;0.815632;23.867474;16.328952;1.000000;-1.000000;0.000000;2.500000;0.000000;0.000000;0.000000;1.000000;0.815632;0.955158;
300.000000;23.428604;0.000000;0.815632;23.867474;16.328952;1.000000;-1.000000;0.000000;2.500000;0.000000;0.000000;0.000000;1.000000;0.815632;0.955158;
