time;SM_generator_IRotorPu;SM_generator_IStatorPu;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_QGenPu;SM_generator_theta;SM_generator_UPu;SM_generator_efdPu;SM_generator_PmPu;SM_voltageRegulator_UUelPu;
0.000000;2.541132;4.183539;1.000000;3.999994;1.600070;0.835669;1.029787;2.541119;0.892857;0.000000;
0.003897;2.541132;4.183539;1.000000;3.999995;1.600068;0.835669;1.029787;2.541120;0.892857;-0.000000;
0.007794;2.541135;4.183541;1.000000;3.999997;1.600067;0.835669;1.029787;2.541390;0.892857;-0.000000;
0.011691;2.541136;4.183542;1.000000;3.999999;1.600066;0.835669;1.029787;2.541416;0.892857;-0.000000;
0.011691;2.541136;4.183542;1.000000;3.999999;1.600066;0.835669;1.029787;2.541416;0.892857;0.000000;
0.011872;2.541136;4.183542;1.000000;3.999999;1.600066;0.835669;1.029787;2.541267;0.892857;0.000000;
0.012052;2.541136;4.183542;1.000000;3.999999;1.600066;0.835669;1.029787;2.541259;0.892857;0.000000;
0.012413;2.541136;4.183542;1.000000;3.999999;1.600066;0.835669;1.029787;2.541263;0.892857;0.000000;
0.013134;2.541137;4.183542;1.000000;3.999999;1.600066;0.835669;1.029787;2.541258;0.892857;0.000000;
0.014576;2.541137;4.183542;1.000000;4.000000;1.600066;0.835669;1.029787;2.541259;0.892857;0.000000;
0.017461;2.541138;4.183543;1.000000;4.000001;1.600065;0.835669;1.029787;2.541259;0.892857;0.000000;
0.023231;2.541139;4.183545;1.000000;4.000003;1.600064;0.835669;1.029787;2.541260;0.892857;0.000000;
0.034771;2.541142;4.183548;1.000000;4.000006;1.600063;0.835669;1.029787;2.541260;0.892857;0.000000;
0.057852;2.541146;4.183553;1.000000;4.000012;1.600063;0.835669;1.029786;2.541256;0.892857;0.000000;
0.104012;2.541151;4.183560;1.000000;4.000019;1.600066;0.835669;1.029787;2.541236;0.892857;0.000000;
0.196332;2.541151;4.183558;1.000000;4.000015;1.600070;0.835667;1.029787;2.541201;0.892857;0.000000;
0.380974;2.541153;4.183551;1.000000;4.000004;1.600084;0.835664;1.029787;2.541215;0.892857;0.000000;
0.750256;2.541163;4.183556;1.000000;3.999999;1.600117;0.835658;1.029788;2.541232;0.892857;0.000000;
1.000000;2.541162;4.183556;1.000000;3.999998;1.600118;0.835658;1.029788;2.541210;0.892857;0.000000;
1.000000;5.530951;21.725029;1.000000;-0.000000;3.185844;0.835658;0.146644;0.733220;0.892857;0.000000;
1.000000;5.530951;21.725028;1.000000;0.000000;3.185844;0.835658;0.146644;0.733220;0.892857;0.000000;
1.000000;5.530952;21.725026;1.000000;0.000000;3.185843;0.835658;0.146644;0.733220;0.892857;0.000000;
1.000000;5.530952;21.725024;1.000000;-0.000000;3.185842;0.835658;0.146644;0.733220;0.892857;0.000000;
1.000000;5.530953;21.725018;1.000000;-0.000000;3.185841;0.835658;0.146644;0.733219;0.892857;0.000000;
1.000000;5.530955;21.725006;1.000000;-0.000000;3.185837;0.835658;0.146644;0.733219;0.892857;0.000000;
1.000000;5.530959;21.724982;1.000000;-0.000000;3.185830;0.835658;0.146644;0.733218;0.892857;0.000000;
1.000000;5.530966;21.724935;1.000000;-0.000000;3.185816;0.835658;0.146643;0.733217;0.892857;0.000000;
1.000001;5.530981;21.724840;1.000000;-0.000000;3.185788;0.835658;0.146643;0.733213;0.892857;0.000000;
1.000002;5.531012;21.724650;1.000000;0.000000;3.185733;0.835658;0.146641;0.733207;0.892857;0.000000;
1.000002;5.531042;21.724460;1.000000;0.000000;3.185677;0.835658;0.146640;0.733201;0.892857;0.000000;
1.000003;5.531072;21.724271;1.000000;-0.000000;3.185622;0.835658;0.146639;0.733194;0.892857;0.000000;
1.000004;5.531102;21.724081;1.000000;0.000000;3.185566;0.835658;0.146638;0.733188;0.892857;0.000000;
1.000005;5.531133;21.723891;1.000000;-0.000000;3.185510;0.835658;0.146636;0.733181;0.892857;0.000000;
1.000006;5.531163;21.723702;1.000000;-0.000000;3.185455;0.835658;0.146635;0.733175;0.892857;0.000000;
1.000007;5.531193;21.723512;1.000000;-0.000000;3.185399;0.835658;0.146634;0.733169;0.892857;0.000000;
1.000008;5.531223;21.723322;1.000001;-0.000000;3.185343;0.835658;0.146632;0.733162;0.892857;0.000000;
1.000008;5.531254;21.723133;1.000001;0.000000;3.185288;0.835658;0.146631;0.733156;0.892857;0.000000;
1.000009;5.531284;21.722943;1.000001;-0.000000;3.185232;0.835658;0.146630;0.733149;0.892857;0.000000;
1.000010;5.531314;21.722753;1.000001;0.000000;3.185177;0.835658;0.146629;0.733143;0.892857;0.000000;
1.000011;5.531344;21.722564;1.000001;-0.000000;3.185121;0.835658;0.146627;0.733137;0.892857;0.000000;
1.000012;5.531375;21.722374;1.000001;0.000000;3.185065;0.835658;0.146626;0.733130;0.892857;0.000000;
1.000013;5.531405;21.722184;1.000001;0.000000;3.185010;0.835658;0.146625;0.733124;0.892857;0.000000;
1.000014;5.531465;21.721805;1.000001;-0.000000;3.184899;0.835658;0.146622;0.733111;0.892857;0.000000;
1.000015;5.531480;21.721712;1.000001;-0.000000;3.184871;0.835658;0.146622;0.733108;0.892857;0.000000;
1.000015;5.531480;21.721712;1.000001;-0.000000;3.184871;0.835658;0.146622;0.733108;0.892857;0.000000;
1.000015;5.531481;21.721707;1.000001;0.000000;3.184870;0.835658;0.146622;0.731933;0.892857;0.000000;
1.000015;5.531482;21.721702;1.000001;0.000000;3.184868;0.835658;0.146621;0.730762;0.892857;0.000000;
1.000015;5.531483;21.721692;1.000001;-0.000000;3.184865;0.835658;0.146621;0.728425;0.892857;0.000000;
1.000015;5.531487;21.721672;1.000001;-0.000000;3.184859;0.835658;0.146621;0.723782;0.892857;0.000000;
1.000015;5.531493;21.721631;1.000001;-0.000000;3.184847;0.835658;0.146621;0.714623;0.892857;0.000000;
1.000016;5.531506;21.721550;1.000001;0.000000;3.184824;0.835658;0.146620;0.696801;0.892857;0.000000;
1.000016;5.531532;21.721387;1.000001;0.000000;3.184776;0.835658;0.146619;0.663047;0.892857;0.000000;
1.000018;5.531583;21.721062;1.000001;0.000000;3.184680;0.835658;0.146617;0.602392;0.892857;0.000000;
1.000019;5.531635;21.720736;1.000001;0.000000;3.184585;0.835658;0.146615;0.550036;0.892857;0.000000;
1.000021;5.531686;21.720410;1.000001;-0.000000;3.184490;0.835658;0.146613;0.504905;0.892857;0.000000;
1.000022;5.531737;21.720085;1.000002;-0.000000;3.184394;0.835658;0.146611;0.466024;0.892857;0.000000;
1.000024;5.531788;21.719759;1.000002;-0.000000;3.184298;0.835658;0.146608;0.432535;0.892857;0.000000;
1.000025;5.531839;21.719433;1.000002;0.000000;3.184203;0.835658;0.146606;0.403693;0.892857;0.000000;
1.000027;5.531890;21.719107;1.000002;-0.000000;3.184107;0.835658;0.146604;0.378853;0.892857;0.000000;
1.000028;5.531941;21.718781;1.000002;0.000000;3.184012;0.835658;0.146602;0.357461;0.892857;0.000000;
1.000030;5.531992;21.718455;1.000002;-0.000000;3.183916;0.835658;0.146600;0.339037;0.892857;0.000000;
1.000031;5.532043;21.718129;1.000002;-0.000000;3.183821;0.835658;0.146597;0.323171;0.892857;0.000000;
1.000033;5.532093;21.717803;1.000002;-0.000000;3.183725;0.835658;0.146595;0.309505;0.892857;0.000000;
1.000036;5.532195;21.717151;1.000002;0.000000;3.183534;0.835658;0.146591;0.287295;0.892857;0.000000;
1.000038;5.532286;21.716564;1.000003;-0.000000;3.183362;0.835658;0.146587;0.272274;0.892857;0.000000;
1.000041;5.532377;21.715976;1.000003;0.000000;3.183190;0.835658;0.146583;0.260838;0.892857;0.000000;
1.000044;5.532467;21.715389;1.000003;0.000000;3.183017;0.835658;0.146579;0.252141;0.892857;0.000000;
1.000046;5.532558;21.714802;1.000003;-0.000000;3.182845;0.835658;0.146575;0.245529;0.892857;0.000000;
1.000049;5.532649;21.714215;1.000003;0.000000;3.182673;0.835658;0.146571;0.240503;0.892857;0.000000;
1.000052;5.532740;21.713628;1.000004;-0.000000;3.182501;0.835658;0.146567;0.236681;0.892857;0.000000;
1.000054;5.532831;21.713041;1.000004;-0.000000;3.182329;0.835658;0.146563;0.233774;0.892857;0.000000;
1.000060;5.533012;21.711868;1.000004;-0.000000;3.181985;0.835658;0.146555;0.229701;0.892857;0.000000;
1.000065;5.533193;21.710694;1.000005;0.000000;3.181641;0.835658;0.146547;0.227339;0.892857;0.000000;
1.000070;5.533375;21.709520;1.000005;-0.000000;3.181297;0.835658;0.146539;0.226007;0.892857;0.000000;
1.000076;5.533556;21.708347;1.000005;-0.000000;3.180953;0.835658;0.146531;0.225268;0.892857;0.000000;
1.000081;5.533737;21.707174;1.000006;-0.000000;3.180609;0.835658;0.146523;0.224859;0.892857;0.000000;
1.000092;5.534099;21.704828;1.000006;0.000000;3.179922;0.835658;0.146508;0.224412;0.892857;0.000000;
1.000102;5.534462;21.702483;1.000007;-0.000000;3.179235;0.835658;0.146492;0.224326;0.892857;0.000000;
1.000124;5.535185;21.697797;1.000009;0.000000;3.177862;0.835658;0.146460;0.224165;0.892857;0.000000;
1.000166;5.536630;21.688434;1.000012;-0.000000;3.175120;0.835658;0.146397;0.223853;0.892857;0.000000;
1.000252;5.539509;21.669754;1.000018;-0.000000;3.169653;0.835659;0.146271;0.223234;0.892857;0.000000;
1.000423;5.545227;21.632569;1.000029;0.000000;3.158784;0.835660;0.146020;0.222001;0.892857;0.000000;
1.000764;5.556508;21.558895;1.000053;-0.000000;3.137305;0.835666;0.145523;0.219549;0.892857;0.000000;
1.001447;5.578458;21.414285;1.000101;-0.000000;3.095358;0.835688;0.144546;0.214705;0.892857;0.000000;
1.002813;5.620011;21.135594;1.000196;-0.000000;3.015315;0.835772;0.142665;0.205246;0.892857;0.000000;
1.003988;5.653809;20.904919;1.000278;-0.000000;2.949943;0.835880;0.141108;0.197644;0.892857;0.000000;
1.003988;5.653809;20.904924;1.000278;-0.000000;2.949857;0.835880;0.141108;0.197644;0.892857;0.000000;
1.004017;5.654653;20.899196;1.000280;0.000000;2.948241;0.835882;0.141070;0.197858;0.892857;0.000000;
1.004046;5.655496;20.893473;1.000282;-0.000000;2.946626;0.835885;0.141031;0.197629;0.892857;0.000000;
1.004105;5.657179;20.882038;1.000287;-0.000000;2.943402;0.835890;0.140954;0.197260;0.892857;0.000000;
1.004221;5.660527;20.859256;1.000295;0.000000;2.936983;0.835901;0.140800;0.196490;0.892857;0.000000;
1.004454;5.667157;20.813984;1.000311;0.000000;2.924248;0.835923;0.140494;0.194990;0.892857;0.000000;
1.004921;5.680162;20.724587;1.000344;0.000000;2.899183;0.835974;0.139891;0.192016;0.892857;0.000000;
1.005853;5.705178;20.550271;1.000409;-0.000000;2.850617;0.836093;0.138714;0.186165;0.892857;0.000000;
1.006785;5.729231;20.380497;1.000474;0.000000;2.803724;0.836232;0.137568;0.180577;0.892857;0.000000;
1.008650;5.773699;20.057460;1.000604;-0.000000;2.715536;0.836586;0.135388;0.169564;0.892857;0.000000;
1.010328;5.810933;19.780117;1.000721;-0.000000;2.640953;0.836966;0.133516;0.160578;0.892857;0.000000;
1.012006;5.845518;19.515417;1.000838;0.000000;2.570744;0.837407;0.131729;0.151921;0.892857;0.000000;
1.013684;5.877587;19.262743;1.000955;0.000000;2.504606;0.837911;0.130024;0.143680;0.892857;0.000000;
1.017041;5.936240;18.785137;1.001189;-0.000000;2.381956;0.839062;0.126800;0.128775;0.892857;0.000000;
1.020397;5.986544;18.347979;1.001423;-0.000000;2.272381;0.840446;0.123849;0.114192;0.892857;0.000000;
1.020510;5.988097;18.333953;1.001431;-0.000000;2.268901;0.840497;0.123754;0.113737;0.892857;0.000000;
1.020510;5.988097;18.333953;1.001431;-0.000000;2.268903;0.840497;0.123754;0.113737;0.892857;0.000000;
1.020593;5.989234;18.323612;1.001437;-0.000000;2.266345;0.840534;0.123684;0.113779;0.892857;0.000000;
1.020677;5.990366;18.313296;1.001443;0.000000;2.263793;0.840572;0.123615;0.113184;0.892857;0.000000;
1.020844;5.992618;18.292721;1.001454;0.000000;2.258710;0.840648;0.123476;0.112463;0.892857;0.000000;
1.021011;5.994843;18.272273;1.001466;0.000000;2.253663;0.840725;0.123338;0.111817;0.892857;0.000000;
1.021346;5.999214;18.231733;1.001489;0.000000;2.243674;0.840882;0.123064;0.110496;0.892857;0.000000;
1.022015;6.007651;18.152052;1.001536;0.000000;2.224105;0.841205;0.122526;0.107879;0.892857;0.000000;
1.023353;6.023354;17.998068;1.001629;0.000000;2.186531;0.841889;0.121487;0.102762;0.892857;0.000000;
1.024690;6.037936;17.849503;1.001723;0.000000;2.150597;0.842613;0.120484;0.097961;0.892857;0.000000;
1.026028;6.051443;17.706129;1.001816;0.000000;2.116202;0.843377;0.119516;0.092981;0.892857;0.000000;
1.027366;6.063921;17.567733;1.001909;0.000000;2.083263;0.844179;0.118582;0.088731;0.892857;0.000000;
1.028704;6.075413;17.434109;1.002002;0.000000;2.051704;0.845020;0.117680;0.084452;0.892857;0.000000;
1.031379;6.094769;17.183639;1.002189;-0.000000;1.993123;0.846860;0.115990;0.076189;0.892857;0.000000;
1.033787;6.109472;16.971615;1.002356;0.000000;1.944237;0.848642;0.114558;0.069541;0.892857;0.000000;
1.036195;6.121650;16.771879;1.002524;0.000000;1.898745;0.850552;0.113210;0.063217;0.892857;0.000000;
1.038603;6.131491;16.583532;1.002692;-0.000000;1.856339;0.852588;0.111939;0.057285;0.892857;0.000000;
1.043419;6.146223;16.232398;1.003027;-0.000000;1.778570;0.856957;0.109569;0.046891;0.892857;0.000000;
1.048235;6.153614;15.917168;1.003362;-0.000000;1.710159;0.861804;0.107441;0.036732;0.892857;0.000000;
1.053051;6.154328;15.634129;1.003698;0.000000;1.649883;0.867150;0.105530;0.028088;0.892857;0.000000;
1.057867;6.149171;15.379278;1.004033;0.000000;1.596309;0.872998;0.103810;0.020163;0.892857;0.000000;
1.062683;6.139059;15.148075;1.004368;-0.000000;1.548882;0.879353;0.102250;0.013165;0.892857;0.000000;
1.067499;6.124671;14.937655;1.004702;-0.000000;1.505879;0.886215;0.100829;0.006464;0.892857;0.000000;
1.072315;6.106692;14.744370;1.005037;-0.000000;1.467426;0.893582;0.099524;0.001154;0.892857;0.000000;
1.077131;6.085683;14.566100;1.005372;0.000000;1.432152;0.901456;0.098321;-0.004155;0.892857;0.000000;
