time;WT4B_WT_controlMeasurements_PPu;WT4B_WT_controlMeasurements_QPu;WT4B_WT_controlMeasurements_UPu;WT4B_WT_terminal_V_re;WT4B_WT_terminal_V_im;WT4B_WT_terminal_i_re;WT4B_WT_terminal_i_im;WT4B_WT_gridProtection_fOCB;
0.000000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;-1.000000;
0.000001;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;-1.000000;
0.000002;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;-1.000000;
0.000004;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;-1.000000;
0.000008;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;-1.000000;
0.000016;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;-1.000000;
0.000032;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;-1.000000;
0.000064;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;-1.000000;
0.000128;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;-1.000000;
0.000256;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;-1.000000;
0.000512;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;-1.000000;
0.001000;1.000163;-0.210036;1.000164;0.976169;0.217767;-0.930284;-0.422695;-1.000000;
0.001000;1.000163;-0.210036;1.000164;0.976169;0.217767;-0.930284;-0.422695;-1.000000;
0.001001;1.000163;-0.210036;1.000164;0.976169;0.217767;-0.930284;-0.422695;-1.000000;
0.001002;1.000163;-0.210036;1.000164;0.976169;0.217767;-0.930284;-0.422695;-1.000000;
0.001004;1.000163;-0.210036;1.000164;0.976169;0.217767;-0.930284;-0.422695;-1.000000;
0.001008;1.000163;-0.210036;1.000164;0.976169;0.217767;-0.930284;-0.422695;-1.000000;
0.001016;1.000163;-0.210036;1.000164;0.976169;0.217767;-0.930284;-0.422695;-1.000000;
0.001032;1.000163;-0.210036;1.000164;0.976169;0.217767;-0.930284;-0.422695;-1.000000;
0.001064;1.000163;-0.210036;1.000164;0.976169;0.217767;-0.930284;-0.422695;-1.000000;
0.001128;1.000163;-0.210036;1.000164;0.976169;0.217767;-0.930284;-0.422695;-1.000000;
0.001256;1.000163;-0.210037;1.000164;0.976169;0.217767;-0.930283;-0.422695;-1.000000;
