Time;U_NGEN;E_FD;P_GEN;Q_GEN;w_GEN;VOTHSG;P_LOAD;Q_LOAD;POWERFACTORY
-0,087000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,086000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,085000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,084000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,083000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,082000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,081000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,080000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,079000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,078000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,077000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,076000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,075000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,074000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,073000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,072000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,071000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,070000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,069000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,068000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,067000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,066000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,065000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,064000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,063000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,062000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,061000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,060000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,059000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,058000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,057000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,056000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,055000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,054000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,053000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,052000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,051000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,050000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,049000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,048000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,047000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,046000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,045000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,044000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,043000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,042000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,041000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,040000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,039000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,038000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,037000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,036000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,035000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,034000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,033000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,032000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,031000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,030000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,029000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,028000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,027000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,026000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,025000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,024000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,023000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,022000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,021000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,020000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,019000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,018000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,017000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,016000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,015000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,014000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,013000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,012000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,011000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,010000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,009000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,008000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,007000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,006000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,005000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,004000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,003000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,002000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
-0,001000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,000000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,001000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,002000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,003000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,004000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,005000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,006000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,007000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,008000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,009000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,010000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,011000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,012000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,013000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,014000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,015000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,016000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,017000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,018000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,019000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,020000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,021000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,022000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,023000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,024000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,025000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,026000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,027000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,028000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,029000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,030000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,031000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,032000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,033000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,034000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,035000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,036000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,037000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,038000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,039000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,040000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,041000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,042000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,043000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,044000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,045000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,046000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,047000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,048000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,049000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,050000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,051000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,052000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,053000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,054000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,055000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,056000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,057000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,058000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,059000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,060000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,061000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,062000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,063000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,064000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,065000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,066000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,067000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,068000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,069000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,070000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,071000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,072000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,073000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,074000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,075000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,076000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,077000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,078000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,079000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,080000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,081000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,082000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,083000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,084000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,085000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,086000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,087000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,088000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,089000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,090000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,091000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,092000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,093000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,094000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,095000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
0,096000;0,991702;2,508261;1,000000;0,999199;1,000000;0,000000;1,000000;0,486789;
