"time","loadPQ.QPu","sVarCStandard.injector.QInjPu"
0,0,0
2.558250650491132e-11,0,0
2.558250650491132e-11,0,0
0.006,0,0
0.012,0,0
0.018,0,0
0.024,0,0
0.03,0,0
0.036,0,0
0.042,0,0
0.048,0,0
0.054,0,0
0.06,0,0
0.066,0,0
0.07199999999999999,0,0
0.078,0,0
0.08400000000000001,0,0
0.09,0,0
0.096,0,0
0.102,0,0
0.108,0,0
0.114,0,0
0.12,0,0
0.126,0,0
0.132,0,0
0.138,0,0
0.144,0,0
0.15,0,0
0.156,0,0
0.162,0,0
0.168,0,0
0.174,0,0
0.18,0,0
0.186,0,0
0.192,0,0
0.198,0,0
0.204,0,0
0.21,0,0
0.216,0,0
0.222,0,0
0.228,0,0
0.234,0,0
0.24,0,0
0.246,0,0
0.252,0,0
0.258,0,0
0.264,0,0
0.27,0,0
0.276,0,0
0.282,0,0
0.288,0,0
0.294,0,0
0.3,0,0
0.306,0,0
0.312,0,0
0.318,0,0
0.324,0,0
0.33,0,0
0.336,0,0
0.342,0,0
0.348,0,0
0.354,0,0
0.36,0,0
0.366,0,0
0.372,0,0
0.378,0,0
0.384,0,0
0.39,0,0
0.396,0,0
0.402,0,0
0.408,0,0
0.414,0,0
0.42,0,0
0.426,0,0
0.432,0,0
0.438,0,0
0.444,0,0
0.45,0,0
0.456,0,0
0.462,0,0
0.468,0,0
0.474,0,0
0.48,0,0
0.486,0,0
0.492,0,0
0.498,0,0
0.504,0,0
0.51,0,0
0.516,0,0
0.522,0,0
0.528,0,0
0.534,0,0
0.54,0,0
0.546,0,0
0.552,0,0
0.5580000000000001,0,0
0.5639999999999999,0,0
0.57,0,0
0.576,0,0
0.582,0,0
0.588,0,0
0.594,0,0
0.6,0,0
0.606,0,0
0.612,0,0
0.618,0,0
0.624,0,0
0.63,0,0
0.636,0,0
0.642,0,0
0.648,0,0
0.654,0,0
0.66,0,0
0.666,0,0
0.672,0,0
0.678,0,0
0.6840000000000001,0,0
0.6899999999999999,0,0
0.696,0,0
0.702,0,0
0.708,0,0
0.714,0,0
